PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1049 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=1137 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=1256 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=1373 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=1461 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=1544 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=1523 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=1512 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=1502 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1503 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1491 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1494 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1491 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1504 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1430 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1377 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1326 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=1269 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1216 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=1162 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=1115 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=1062 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=740 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=790 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=779 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=815 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=724 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=623 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=523 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=433 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=537 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=657 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=864 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=929 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=1027 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=1075 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=1104 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=1053 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=1000 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=950 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=847 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=783 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=571 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=530 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=485 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=440 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=442 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=443 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=441 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=470 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=453 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=460 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=457 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=470 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=465 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=461 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=460 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=478 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=475 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=470 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=489 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=480 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=479 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=475 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=504 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=496 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=494 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=490 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=485 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=498 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=497 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=487 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=500 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=491 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=499 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=498 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=493 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=503 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=506 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=510 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=507 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=517 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=507 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=534 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=522 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=521 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=527 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=523 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=527 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=523 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=519 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=529 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=520 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=534 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=528 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=524 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=518 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=530 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=526 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=523 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=520 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=533 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=448 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=446 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=458 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=455 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=467 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=537 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=534 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=529 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=543 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=538 ms
